sample_id,snapshot_status,question,reference_answer,response,retrieved_contexts,answer_correctness,answer_relevancy,completeness,conflict_disclosure,context_precision,context_recall,evidence_consistency,faithfulness,missing_information_honesty
hw-v1-circuit-u1700-pins,success,U1700 的每个关键引脚分别连接到哪个网络？,U1700 是 LP87702-Q1；VIN_B0_1、VIN_B1_1、VANA、VIN_B0_2、VIN_B1_2 接 VCC3V3，FB_B0 接 VCC1V1，FB_B1 接 VCC1V8，VOUT_BST 接 VCC50，EN1 接 MCU_5V_EN。,系统错误: cannot schedule new futures after shutdown,[],failed,failed,0.0,not_applicable,not_applicable,not_applicable,0.0,not_applicable,not_applicable
hw-v1-circuit-vcc3v3-loads,success,网络 VCC3V3 上连接了哪些主要芯片？,VCC3V3 有 52 个连接；主要 IC 至少包括 U1700、U1800、U1500、U1802、U1804 和 U1600。,系统错误: cannot schedule new futures after interpreter shutdown,[],failed,failed,0.0,not_applicable,not_applicable,not_applicable,0.0,not_applicable,not_applicable
hw-v1-joint-main-pmic,success,给板子供电的主 PMIC 是哪颗？它输出哪些电压，软件如何配置？,主 PMIC 是 U1700，即 LP87702-Q1，输入 VCC3V3，输出包括 VCC1V1、VCC1V8 和 VCC50；软件配置依据 HSI 7.2 节 LP87702 配置说明，通过 I²C 相关信号配置。,系统错误: cannot schedule new futures after interpreter shutdown,[],failed,failed,0.0,not_applicable,not_applicable,not_applicable,0.0,not_applicable,not_applicable
hw-v1-joint-vcc0v75,success,0.75V 电源由哪颗芯片产生，输入是什么，文档有什么配置要求？,U1800 是 TPS62872，VIN 接 VCC3V3，VOSNS 对应 VCC0V75；配置要求见 HSI 7.3 节 TPS62872 配置。,系统错误: cannot schedule new futures after interpreter shutdown,[],failed,failed,0.0,not_applicable,not_applicable,not_applicable,0.0,not_applicable,not_applicable
hw-v1-joint-overvoltage,success,3.3V 电源有没有过压保护，是如何实现的？,HSI 2.3.12 节声明存在 3V3 过压保护电路；EDF 只能用于说明观察到的二极管或 TVS 连接拓扑，不能在没有数据手册证据时断言具体阈值或保护能力。,系统错误: cannot schedule new futures after interpreter shutdown,[],failed,failed,0.0,not_applicable,not_applicable,not_applicable,0.0,not_applicable,not_applicable
hw-v1-circuit-tps22918-enumeration,success,板上用 TPS22918 做了哪些电源开关？逐个给出输入、输出和使能。,U1500：VCC3V3 到 VCC3V3_ETH，使能 MCU_3V3_ETH_EN；U1802：VCC3V3 到 VCC3V3_EQ，使能 MCU_3V3_EQ_EN；U1803：VCC1V8 到 VCC1V8_EQ，使能 MCU_1V8_EQ_EN。,系统错误: cannot schedule new futures after interpreter shutdown,[],failed,failed,0.0,not_applicable,not_applicable,not_applicable,0.0,not_applicable,not_applicable
hw-v1-multihop-eth-power,success,以太网 PHY 的 1.0V 电源如何一级级供出来？,供电链路为 VCC3V3 → U1500（TPS22918，ON=MCU_3V3_ETH_EN）→ VCC3V3_ETH → U1501（TPS74501 LDO）→ VCC1V0_ETH。,系统错误: cannot schedule new futures after interpreter shutdown,[],failed,failed,0.0,not_applicable,not_applicable,not_applicable,0.0,not_applicable,not_applicable
hw-v1-missing-u1700-price,success,U1700 的替代料和采购单价是多少？,当前知识库只有电路和 HSI 文档，没有 BOM、替代料或价格表证据；只能确认 U1700 的已知料号为 20200424007，不能编造替代料或单价。,系统错误: cannot schedule new futures after interpreter shutdown,[],failed,failed,0.0,not_applicable,not_applicable,not_applicable,0.0,not_applicable,0.0
hw-v1-conflict-main-mcu,success,主控 MCU 是哪颗，型号是什么？,EDF 中 U900 为 SAK-TC367DP-64F300S，即 AURIX TC367；HSI 章节名称写作 TC377 最小系统。回答应披露 TC367 与 TC377 的来源差异，不能合并为无冲突的单一型号。,系统错误: cannot schedule new futures after interpreter shutdown,[],failed,failed,0.0,0.0,not_applicable,not_applicable,0.0,not_applicable,not_applicable
hw-v1-circuit-u1800-control,success,U1800 的输入、输出检测、使能和 I²C 控制网络分别是什么？,U1800 是 TPS62872，VIN 为 VCC3V3，VOSNS 为 VCC0V75，EN 接 N19888813，并通过连接到 MCU 的 SDA/SCL 进行 I²C 控制。,系统错误: cannot schedule new futures after interpreter shutdown,[],failed,failed,0.0,not_applicable,not_applicable,not_applicable,0.0,not_applicable,not_applicable
hw-v1-circuit-vcc1v8-switch,success,VCC1V8 到 EQ 的 1.8V 电源经过哪颗负载开关，使能信号是什么？,VCC1V8 经 U1803（TPS22918）输出为 VCC1V8_EQ，使能信号为 MCU_1V8_EQ_EN。,系统错误: cannot schedule new futures after interpreter shutdown,[],failed,failed,0.0,not_applicable,not_applicable,not_applicable,0.0,not_applicable,not_applicable
hw-v1-joint-can-module,success,文档声明板上有哪些 CAN 相关模块，回答时能否用网表确认其具体连接？,HSI 硬件架构包含 CAN/CAN FD 电路；具体器件和网络连接应以 EDF 检索结果为准，文档能力声明与网表拓扑需分别标注来源。,系统错误: cannot schedule new futures after interpreter shutdown,[],failed,failed,0.0,not_applicable,not_applicable,not_applicable,0.0,not_applicable,not_applicable
hw-v1-circuit-tps22918-paraphrase,success,不要概括，逐颗列出所有 TPS22918 的输入电源、输出电源和 ON 控制。,应逐颗列出 U1500、U1802、U1803，分别对应 VCC3V3→VCC3V3_ETH、VCC3V3→VCC3V3_EQ、VCC1V8→VCC1V8_EQ，并给出三个 MCU 使能网络。,系统错误: cannot schedule new futures after interpreter shutdown,[],failed,failed,0.0,not_applicable,not_applicable,not_applicable,0.0,not_applicable,not_applicable
hw-v1-circuit-vcc3v3-role,success,VCC3V3 在板上主要给哪些电源器件供电？不要把电阻电容当成主要负载。,VCC3V3 是主要 3.3V 电源轨，供给 U1700、U1800、U1500、U1802、U1804 和 U1600 等 IC；回答应聚焦芯片而非无源器件。,系统错误: cannot schedule new futures after interpreter shutdown,[],failed,failed,0.0,not_applicable,not_applicable,not_applicable,0.0,not_applicable,not_applicable
hw-v1-multihop-eth-enable,success,从 MCU 使能开始，追踪到以太网 PHY 1.0V 电源的完整路径。,MCU_3V3_ETH_EN 使能 U1500，VCC3V3 经 U1500 形成 VCC3V3_ETH，再进入 U1501 TPS74501，输出 VCC1V0_ETH。,系统错误: cannot schedule new futures after interpreter shutdown,[],failed,failed,0.0,not_applicable,not_applicable,not_applicable,0.0,not_applicable,not_applicable
